Ubicacion,,,Numero,Hora,Región,X,Y,Zi,Zf,Zoom,Campo,Tamano imagen,Archivo,Tipo,Comentario 
Carpeta,23.10.18 - gon MCF10 5 F18,,0,12:30,20,-196,-3653,6,,2,106.066,1024,00-cel20-transpre,TRANS,
Equipo,,,1,12:31,20,-196,-3653,7.5,1,2,106.066,1024,01-cel20-pre,PRE,
Microscopio ,FV1000,,2,,20,-196,-3653,5,,2,106.066,1024,02-cel20-transpre2,TRANS,
Objetivo,60X: UPLSAPO 60X O NA:1.35 - ACEITE,,3,,21,1868,-3572,6,,2.7,77.82,1024,03-cel21-transpre,TRANS,"Creo que se desprendió un poco, hay varios cúmulos con alta intensidad de fluorescencia "
Campo,212.131,,4,12:43,21,1868,-3572,7.5,1,2.7,77.82,1024,04-cel21-pre,PRE,
Laser,635,,5,,21,1868,-3572,6,,2.7,77.82,1024,05-cel21-transpre2,TRANS,
Dicroico principal,405/488/543/635,,6,,22,2117,-2723,8,,1.8,117.851,1024,06-cel22-transpre,TRANS,
Dicroico Ch1,Nada,,7,12:58,22,2117,-2723,9.5,3,1.8,117.851,1024,07-cel22-pre,PRE,"También presenta cúmulos, similar a la 21"
Dicroico Ch2,Espejo,,8,,22,2117,-2723,8,,1.8,117.851,1024,08-cel22-transpre2,TRANS,
Pinhole,108,,9,,23,1199,-2115,12,,2,106.066,1024,09-cel23-transpre,TRANS,
Ch1,None,,10,13:07,23,1199,-2115,13,7,2,106.066,1024,10-cel23-pre,PRE,
Ch2,(645;705),,11,,23,1199,-2115,12,,2,106.066,1024,11-cel23-transpre2,TRANS,
Tiempo por pixel,10,,12,,24,442,-871,13,,2.5,83.97,1024,12-cel24-transpre,TRANS,
Resolución XY,219,,13,13:18,24,442,-871,14,8,2.5,83.97,1024,13-cel24-pre,PRE,
Resolución Z,750,,14,,24,442,-871,13,,2.5,83.97,1024,14-cel24-transpre2,TRANS,
,,,15,,25,914,-236,8,,2,106.066,1024,15-cel25-transpre,TRANS,
Adquisición Esferas,,,16,13:28,25,914,-236,9,3,2,106.066,1024,16-cel25-pre,PRE,Hay una fibra o una grieta en el gel justo abajo
Potencia,0.205,,17,,25,914,-236,8,,2,106.066,1024,17-cel25-transpre2,TRANS,
Kalman,2,,18,13:56,22,2117,-2723,9.5,2,1.8,117.851,1024,18-cel22-post,POST,
HV Ch2,700,,19,14:03,23,1199,-2115,13,6,2,106.066,1024,19-cel23-post,POST,
HV Transmision,135,,20,14:14,25,914,-236,9,3,2,106.066,1024,20-cel25-post,POST,"KERNEL. Noto ahora que hay una leve inclinación en el plano, tanto en pre como en post aparecen antes las esferas de abajo a la izquierda"
Offset,1,,21,12:31,20,-196,-3653,10,3,2,77.82,1024,21-cel20-post,POST,KERNEL. Corregí un poco moviendo a la derecha abajo
dZ,0.5,,22,14:40,24,442,-871,16,9,2.5,83.97,1024,22-cel24-post,POST,La célula está hecha una masa amorfa pero sigue pegada 
,,,23,14:50,21,1868,-3572,9.5,3,2.7,77.82,1024,23-cel21-post,POST,
Adquisición Esferas,,,24,14:58,,,,,,4,,320,,,
Potencia,0.005,,,,,,,,,,,,,,
Kalman,0,,,,,,,,,,,,,,
HV Ch2,700,,,,,,,,,,,,,,
HV Transmicion,235,,,,,,,,,,,,,,
Offset,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Cultivo,,,,,,,,,,,,,,,
Muestra,F,,,,,,,,,,,,,,
Medio de medicion,DMEM F12 + SFB 5% + HEPES 10 mM,,,,,,,,,,,,,,
Fecha de sembrado,2023/10/18,,,,,,,,,,,,,,
Hora de sembrado,13:00,,,,,,,,,,,,,,
Celulas sembradas,MCF10,,,,,,,,,,,,,,
Cantidad sembrada ,1*10^4,,,,,,,,,,,,,,
Fecha de medicion,2023/10/19,,,,,,,,,,,,,,
Hora de inicio,12:20,,,,,,,,,,,,,,
Hora de tripsina ,"13:37, 13:44 y 13:53",,,,,,,,,,,,,,
Hora de final,,,,,,,,,,,,,,,
Clase de gel,B,,,,,,,,,,,,,,
Nanoesferas ,Crimson ,,,,,,,,,,,,,,
Concentración ,0.002,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pares pre-post,6,,,,,,,,,,,,,,
Comentarios,Cúmulos con alta intensidad de fluorescencia entrando en el gel en general (primeros dos planos),,,,,,,,,,,,,,
,Muchos Kernel pero creo que pude corregir bien,,,,,,,,,,,,,,
