Numero,1,,Archivo,Numero,Hora,Region,Region XY,Z,dZ,Zoom,Campo,Tamano imagen,Kalman,Potencia,Tipo,Comentario 
Nombre,D22,,00-trans1_pre.oif,0,11:06,1,"400,-150",0,,2.5,84.852,1024,0,0.5,trans pre,
Microscopio ,FV1000,,00-pre1.oif,1,11:08,1,"400,-150","(2.4,5.1)",0.3,2.5,84.852,1024,2,20,pre,
Fecha de medicion,2023/06/22,,02-trans2_pre.oif,2,11:18,2,"600,-70",0,,2.5,84.852,1024,0,0.5,trans pre,
Hora de inicio,10:30,,03-pre2.oif,3,11:20,2,"600,-70","(2.4,5.1)",0.3,2.5,84.852,1024,2,20,pre,
Hora de tripsina ,11:55,,04-trans3_2largas_pre.oif,4,11:29,3,"700,-300",-2.1,,2,106.066,1024,0,0.5,trans pre,
Fecha de sembrado,2023/06/21,,05-2largas_pre3.oif,5,11:31,3,"700,-300","(4.5,7.2)",0.3,2,106.066,1024,2,20,pre,
Hora de sembrado,17:00,,06-trans4_1largavertical_pre.oif,6,11:44,4,"-260,-40",1.8,,2.5,84.852,1024,0,0.5,trans pre,
Celulas sembradas,MCF10,,07-1largavertical_pre.oif,7,11:46,4,"-260,-40","(0,3)",0.3,2.5,84.852,1024,2,20,pre,
Cantidad sembrada ,1.00E+05,,08-trans1_desprendiendose.oif,8,12:15,1,"400,-150",0,,2.5,84.852,1024,0,20,duran,
Clase de gel,B,,09-post1.oif,9,12:36,1,"400,-150","(2.4,5.1)",0.3,2.5,84.852,1024,2,20,post,
Nanoesferas ,Crimson ,,10-trans1_post.oif,10,12:43,1,"400,-150",0,,2.5,84.852,1024,0,0.5,trans post,
Concentración ,0.02,,11-trans2_post.oif,11,12:44,2,"600,-70",0,,2.5,84.852,1024,0,0.5,trans post,
Objetivo,60X 1.35,,12-post2.oif,12,12:46,2,"600,-70","(2.4,5.1)",0.3,2.5,84.852,1024,2,20,post,
Laser,635,,13-trans3_2largas_post.oif,13,12:51,3,"700,-300",-2.1,,2,106.066,1024,0,0.5,trans post,
Dicroico principal,405/488/543/635,,14-2largas_post3.oif,14,12:53,3,"700,-300","(4.5,7.2)",0.3,2,106.066,1024,2,20,post,
Dicroico Ch1,Vidrio,,15-trans4_1largavertical_post.oif,15,1:00,4,"-260,-40",1.8,,2.5,84.852,1024,0,0.5,trans post,
Dicroico Ch2,Espejo,,16-1largavertical_post.oif,16,1:02,4,"-260,-40","(0,3)",0.3,2.5,84.852,1024,2,20,post,
Pinhole,108,,,,,,,,,,,,,,,
Ch1,None,,,,,,,,,,,,,,,
Ch2,"-645,705",,,,,,,,,,,,,,,
Tiempo por pixel,10,,,,,,,,,,,,,,,
Resolución XY,220,,,,,,,,,,,,,,,
Resolución Z,968,,,,,,,,,,,,,,,
HV Fluorescencia,700,,,,,,,,,,,,,,,
Offset,1,,,,,,,,,,,,,,,
HV Transmicion,285 - 150,,,,,,,,,,,,,,,
Offset,0,,,,,,,,,,,,,,,
Mediciones,17,,,,,,,,,,,,,,,
Pre-Post,4,,,,,,,,,,,,,,,
Comentario,"Variaba mucho el enfoque, es decir, la altura en la que se enfocaban las celulas en las distintas regiones",,,,,,,,,,,,,,,
