Ubicacion,,,Numero,Hora,Región,X,Y,Zi,Zf,Zoom,Campo,Tamano imagen,Archivo,Tipo,Comentario 
Carpeta,MCF7_Buenas,,3,,1,,,,,1.5,140.8,1600,03-cel7-transpre1,TRANS,"Es una célula gigante o un cúmulo bien agarrado, puede que me equivoque, pero me parece interesante"
Equipo,,,4,12:22,1,,,,,1.5,140.8,1600,04-cel7-pre,PRE,
Microscopio ,FV1000,,5,,1,,,,,1.5,140.8,1600,05-cel7-transpre2,TRANS,
Objetivo,60X: UPLSAPO 60X O NA:1.35 - ACEITE,,6,,2,,,,,2.5,83.97,1024,06-cel8-transpre1,TRANS,
Campo,212.131,,7,,2,,,,,2.5,83.97,1024,07-cel8-pre,PRE,
Laser,635,,8,,2,,,,,2.5,83.97,1024,08-cel8-transpre2,TRANS,
Dicroico principal,405/488/543/635,,9,,3,,,,,2.5,83.97,1024,09-cel9-transpre1,TRANS,
Dicroico Ch1,Nada,,10,12:42,3,,,,,2.5,83.97,1024,10-cel9-pre,PRE,
Dicroico Ch2,Espejo,,11,,3,,,,,2.5,83.97,1024,11-cel9-transpre2,TRANS,
Pinhole,108,,12,,3,,,,,2.5,83.97,1024,12-cel9-transdurante,TRANS,
Ch1,None,,14,13:22,2,,,-28,-33,2.5,83.97,1024,14-cel8-post,POST,
Ch2,(645;705),,15,13:29,3,,,-14,-19,2.5,83.97,1024,15-cel9-post,POST,
Tiempo por pixel,10,,16,,1,,,-2,-6,1.5,140.8,1600,16-cel7-post,POST,
Resolución XY,219,,3,,4,-1037,1684,13,13,2.5,83.97,1024,03-cel2-transpre1,TRANS,
Resolución Z,750,,4,,4,-1037,1684,13,6,2.5,83.97,1024,04-cel2-pre,PRE,"Las esferas se enfocan primero en la parte derecha de la imágen, pero me fijé y no estaba levantado. en son con esto el plano cero cambia mucho de célula a célula, debe ser un gel con un alto desnivel"
,,,5,,4,-1037,1684,13,,2.5,83.97,1024,05-cel2-transpre2,TRANS,
Adquisición Esferas,,,6,,5,-1058,1081,17,,2.2,96.26,1024,06-cel3-transpre1,TRANS,
Potencia,0.205,,7,,5,-1058,1081,18,12,2.2,96.26,1024,07-cel3-pre,PRE,Son 2 células pegadas 
Kalman,2,,8,,5,-1058,1081,17,,2.2,96.26,1024,08-cel3-transpre2,TRANS,
HV Ch2,700,,12,10:07,6,403,-307,28,,2.2,96.26,1024,12-cel5-transpre1,TRANS,
HV Transmision,135,,13,10:08,6,403,-307,28,20,2.2,96.26,1024,13-cel5-pre,PRE,
Offset,1,,14,10:14,6,403,-307,28,,2.2,96.26,1024,14-cel5-transpre2,TRANS,
dZ,0.5,,16,10:41,4,-1037,1684,11,6,2.5,83.97,1024,16-cel2-post,POST,
,,,17,10:47,6,403,-307,28,20,2.2,96.26,1024,17-cel5-post,POST,
Adquisición Esferas,,,19,11:04,5,-1058,1081,18,12,2.2,96.26,1024,19-cel3-post,POST,
Potencia,0.005,,2,10:00,7,"1,800",-750,0,-5,2.2,96.4,1024,02-cuadrúpeda-pre,PRE,
Kalman,0,,3,10:04,7,"1,800",-750,0.5,,2.2,96.4,1024,03-cuadrúpeda-transpre,TRANS,
HV Ch2,700,,6,10:35,7,"1,800",-750,0,-5,2.2,96.4,1024,06-cuadrúpeda-pre2,PRE,
HV Transmicion,235,,7,10:57,7,"1,800",-750,0,-5,2.2,96.4,1024,07-cudrúpeda-pre3,PRE,
Offset,1,,9,11:45,7,"1,800",-750,-3,-9,2.2,96.4,1024,09-cuadrúpeda-post1,POST,
,,,10,12:10,7,"1,800",-750,-3,-10,2.2,96.4,1024,10-cuadrúpeda-post2,POST,
Cultivo,,,,,,,,,,,,,,,
Muestra,,,,,,,,,,,,,,,
Medio de medicion,,,,,,,,,,,,,,,
Fecha de sembrado,,,,,,,,,,,,,,,
Hora de sembrado,,,,,,,,,,,,,,,
Celulas sembradas,,,,,,,,,,,,,,,
Cantidad sembrada ,,,,,,,,,,,,,,,
Fecha de medicion,,,,,,,,,,,,,,,
Hora de inicio,,,,,,,,,,,,,,,
Hora de tripsina ,,,,,,,,,,,,,,,
Hora de final,,,,,,,,,,,,,,,
Clase de gel,B,,,,,,,,,,,,,,
Nanoesferas ,Crimson ,,,,,,,,,,,,,,
Concentración ,0.002,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Pares pre-post,7,,,,,,,,,,,,,,
Comentarios,,,,,,,,,,,,,,,
